sampling_measure,R,Theta_1,Theta_2,Phi,V_reference,V_candidate,absolute_disagreement,normalized_disagreement,gradient_disagreement_cm1_per_rad,reference_high_candidate_below_warning,reference_above_1000_candidate_below_1000,selection_reason
coordinate-uniform,4.4000000000000004,102.7295025987178,128.54186416525391,7.6175314032286412,1538.9862783719832,1524.8554353702314,14.130843001751828,0.91819161745224531,183.05212657846752,False,False,largest normalized disagreement
coordinate-uniform,4.4000000000000004,107.09831458065658,120.33529488377273,4.5273492092639209,1766.4548878213659,1750.0334670219074,16.421420799458474,0.92962582360150847,52.828150409767687,False,False,largest normalized disagreement
coordinate-uniform,4.4000000000000004,73.461364437527962,47.83136441487818,12.726728653460741,1986.5475856695434,1967.0265685989739,19.521017070569542,0.98266043116154211,29.853447596012636,False,False,largest normalized disagreement
coordinate-uniform,4.4000000000000004,72.403125957325088,48.693389015011491,6.7534760818630453,2079.3900389871951,2058.6296963656687,20.760342621526434,0.9983861724969183,85.788850619635639,False,False,largest normalized disagreement
coordinate-uniform,4.4000000000000004,75.564456003829832,43.967439788281915,7.3727085348218671,1870.1741210614859,1850.7969343816587,19.377186679827219,1.0361167156365625,102.27654906188646,False,False,largest normalized disagreement
coordinate-uniform,4.4000000000000004,178.60552229851484,1.0182799847424031,28.835760270729665,73785.998795956009,73891.543783558911,105.54498760290153,0.14304202602823088,330.36875664873116,False,False,largest absolute disagreement
coordinate-uniform,4.4000000000000004,1.3140147643536331,179.61712462484837,98.220539064221072,73785.759858063277,73891.707065579816,105.94720751653949,0.14358760785325386,316.99698673654206,False,False,largest absolute disagreement
coordinate-uniform,4.4000000000000004,0.37916326090693475,173.85679797604681,62.727098484523594,73464.815165691092,73571.311442893086,106.49627720199351,0.14496228835777222,90.040028714238957,False,False,largest absolute disagreement
coordinate-uniform,4.4000000000000004,0.69256086498498914,2.6738539944961666,176.78557330023497,73894.91758947917,74003.157349801244,108.23976032207429,0.14647794984141776,154.82658697938894,False,False,largest absolute disagreement
coordinate-uniform,4.4000000000000004,179.39144688360392,177.74192187342791,62.495524491146206,73862.672071400331,73971.060499525323,108.38842812499206,0.14674317227545863,155.92119130203199,False,False,largest absolute disagreement
coordinate-uniform,4.4000000000000004,6.3391298162564631,1.7381243187189099,8.1233307260647418,68962.296337768494,69006.759536017096,44.463198248602566,0.064474648626587944,823.8865583706621,False,False,largest gradient disagreement
coordinate-uniform,4.4000000000000004,174.15684130433948,6.2790657733753328,7.7188861086219553,70440.16478196645,70494.16452924737,53.999747280919109,0.076660449969225095,824.84224340664798,False,False,largest gradient disagreement
coordinate-uniform,4.4000000000000004,174.71839528486132,4.6068379422649741,135.31673415608702,69921.894932310592,69981.014490200963,59.119557890371652,0.084550851986496686,827.35407266913148,False,False,largest gradient disagreement
coordinate-uniform,4.4000000000000004,173.59135721404104,177.52917713955046,118.20298237994315,69312.691219264801,69356.555571105142,43.864351840340532,0.063284733385375838,830.04626358307814,False,False,largest gradient disagreement
coordinate-uniform,4.4000000000000004,5.3649097920209172,174.76221071373669,70.322471367828555,70468.413194562512,70527.266837295814,58.853642733301967,0.083517763584100735,836.5960181851367,False,False,largest gradient disagreement
