sampling_measure,R,points,p95_absolute_disagreement,maximum_absolute_disagreement,p95_normalized_disagreement,maximum_normalized_disagreement,p95_gradient_disagreement_cm1_per_rad,maximum_gradient_disagreement_cm1_per_rad,reference_high_candidate_below_warning,reference_above_1000_candidate_below_1000
coordinate-uniform,4.4000000000000004,4096,25.803389371769299,108.38842812499206,0.23060051554172706,1.0361167156365625,294.84830821894354,836.5960181851367,0,0
coordinate-uniform,4.7999999999999998,4096,3.9000570701728066,18.343288641241088,0.094447439162265584,0.73080549030636632,46.021587839324013,141.08537118415796,0,0
coordinate-uniform,5,4096,1.6808750481450261,8.1204458144056844,0.086157543410722487,0.49678431975544868,21.106384848187083,62.226655900832029,0,0
coordinate-uniform,5.7999999999999998,4096,0.15954470095781925,0.37758459171891445,0.062247033586155354,0.24367586054876256,1.9315490565160909,3.6296426163845266,0,0
coordinate-uniform,6.5999999999999996,4096,0.045556002352142855,0.13184270996671899,0.034834516516499825,0.13184270996671899,0.59870258618854655,1.1456543404736306,0,0
solid-angle,4.4000000000000004,4096,11.356086697982391,57.52552956409636,0.31070802561275773,1.025179383853797,162.3348855011651,710.01059393121136,0,1
solid-angle,4.7999999999999998,4096,2.0932201166364166,8.365415183834557,0.1569699828930585,0.6834971070853757,29.523437231313899,108.83590512817281,0,0
solid-angle,5,4096,0.99363552235899988,3.8435972453407885,0.16280069599277169,0.48536732453830211,14.392085095843292,46.137564950505521,0,0
solid-angle,5.7999999999999998,4096,0.14674772959477966,0.34964508667303562,0.085160816786470583,0.25867876598007911,1.8996119532775508,3.6021406455949183,0,0
solid-angle,6.5999999999999996,4096,0.048239208860125227,0.12668560503036019,0.043594477298359635,0.12668560503036019,0.60376245612845636,1.151197732360445,0,0
