training_points,retained_rank,condition_number,worst_normalized_error,tolerance_headroom,tolerance_safety_factor,limiting_R,minimum_guardrail_prediction,any_guardrail_below_warning,strict_pass
158,158,66.684852239037156,2.0392337828464187,-1.0392337828464187,0.49038026361262632,4.4000000000000004,5000.5537923598631,False,False
159,158,57.707323166216241,1.6937270420116735,-0.69372704201167346,0.59041390684314754,4.4000000000000004,5000.600678789212,False,False
160,158,55.822330639294755,1.3119361660631479,-0.31193616606314789,0.76223220753247123,4.4000000000000004,5000.6692829352023,False,False
161,158,55.687741526756376,0.47043811695124749,0.52956188304875251,2.1256780944551568,4.4000000000000004,5000.7034572288039,False,True
162,158,47.264625108140145,0.48726208187342546,0.51273791812657454,2.0522836420088333,4.4000000000000004,5000.6707223924577,False,True
163,158,44.952319711615736,0.51218006167377439,0.48781993832622561,1.9524383607047464,4.7999999999999998,5000.7377522686647,False,True
164,158,43.794498218005792,0.51604068297777417,0.48395931702222583,1.9378317116967887,4.7999999999999998,5000.7355802924039,False,True
165,158,43.591066612154385,0.50886526581045644,0.49113473418954356,1.9651567265203809,4.7999999999999998,5000.7355189235614,False,True
166,158,43.561344191091308,0.48058502654757262,0.51941497345242738,2.0807972466054578,4.7999999999999998,5000.735153096728,False,True
167,158,41.733464234439992,0.4524216115418227,0.5475783884581773,2.210327655639762,4.7999999999999998,5000.7347386423917,False,True
168,158,41.033818637783092,0.43829044120273863,0.56170955879726137,2.2815920813966217,4.7999999999999998,5000.7283389335216,False,True
169,158,35.34924487771741,0.37029998588298924,0.62970001411701082,2.7005132004406533,4.4000000000000004,5000.7303499881555,False,True
170,158,35.285959714828429,0.37878923495793104,0.62121076504206896,2.6399905480710446,4.4000000000000004,5000.7311469122196,False,True
171,158,34.920894785765746,0.39988629232320261,0.60011370767679739,2.5007108750598626,4.4000000000000004,5000.73104949354,False,True
172,158,33.214360240489391,0.40971511569110086,0.59028488430889914,2.4407202997946906,4.4000000000000004,5000.7300536743132,False,True
173,158,33.167139767593369,0.40027793986533117,0.59972206013466889,2.4982640820436877,4.4000000000000004,5000.7319485378721,False,True
174,158,32.530257930835589,0.39568148521264901,0.60431851478735099,2.5272852973208368,4.4000000000000004,5000.7313866500608,False,True
175,158,32.488635004355977,0.36407123533257035,0.63592876466742965,2.7467152110672077,4.4000000000000004,5000.7318175084847,False,True
176,158,32.436192667926072,0.35410036855348198,0.64589963144651796,2.8240580603885017,4.4000000000000004,5000.7316683949011,False,True
177,158,32.405592984790999,0.35624518490217927,0.64375481509782073,2.8070554842013884,4.4000000000000004,5000.7310438242466,False,True
178,158,32.374399568904096,0.35427677095858323,0.64572322904141677,2.8226518981028681,4.4000000000000004,5000.7324366466364,False,True
179,158,32.102454331061416,0.32808342486143366,0.67191657513856629,3.0480052456851512,4.4000000000000004,5000.7319594761402,False,True
180,158,32.095281605235051,0.3302952607146632,0.6697047392853368,3.0275941526871741,4.4000000000000004,5000.7301799893448,False,True
181,158,31.684216515320781,0.31787542783123363,0.68212457216876632,3.1458864462179186,4.4000000000000004,5000.7308488582948,False,True
182,158,31.631806499922718,0.30624165583222268,0.69375834416777726,3.2653950922596215,4.4000000000000004,5000.7259667584167,False,True
183,158,31.520468177215374,0.30709615645124816,0.69290384354875179,3.2563090712558336,4.4000000000000004,5000.7260831210469,False,True
184,158,31.111481001970738,0.36077488832841192,0.63922511167158813,2.7718115432959514,4.4000000000000004,5000.7402601998201,False,True
185,158,31.111423651178434,0.35702053325773131,0.64297946674226869,2.8009593478426216,4.4000000000000004,5000.7382063922514,False,True
186,158,31.103979258100118,0.37775593266598434,0.62224406733401572,2.647211899340864,4.4000000000000004,5000.7388977025939,False,True
187,158,31.100556805902468,0.37363163917124886,0.62636836082875114,2.6764328690634893,4.4000000000000004,5000.7374594013154,False,True
188,158,30.64128534717408,0.38354577299533027,0.61645422700466979,2.6072507387851598,4.4000000000000004,5000.7375070157123,False,True
189,158,30.512035242890256,0.38428311621608385,0.6157168837839162,2.6022480764876907,4.4000000000000004,5000.7395975393338,False,True
190,158,30.295493083330129,0.3751807115589334,0.6248192884410666,2.6653822256609265,4.4000000000000004,5000.7399172308587,False,True
191,158,30.266482610866195,0.37997506260581843,0.62002493739418152,2.6317516553379399,4.4000000000000004,5000.7397326229247,False,True
192,158,30.120099559771468,0.38021613604949939,0.61978386395050067,2.6300830111792322,4.4000000000000004,5000.7390622800249,False,True
193,158,29.846091609285459,0.38582941437276741,0.61417058562723259,2.5918189820381459,4.4000000000000004,5000.7390363517743,False,True
194,158,29.810504469216735,0.42419529794590205,0.57580470205409795,2.357404725706155,4.4000000000000004,5000.7349111749363,False,True
195,158,29.903790198709075,0.46070480648428525,0.53929519351571475,2.1705872956506918,4.4000000000000004,5000.735329233974,False,True
196,158,37.373274933213125,0.45852234518126633,0.54147765481873367,2.1809187938369128,4.4000000000000004,5000.7486352458827,False,True
197,158,37.303314579005807,0.46579619936853156,0.53420380063146844,2.1468616561399072,4.4000000000000004,5000.7431499119912,False,True
198,158,37.258267761619202,0.49018225661006942,0.50981774338993058,2.0400575225134694,4.4000000000000004,5000.7437593067034,False,True
199,158,37.223806696903239,0.47472485243794166,0.52527514756205829,2.1064833552836268,4.4000000000000004,5000.7418495883112,False,True
200,158,37.0659114543082,0.47766010666830322,0.52233989333169673,2.0935388700870097,4.4000000000000004,5000.7422641677231,False,True
