training_points,removed_position,removed_orientation,removed_leverage,replacement_orientation,replacement_leverage,retained_rank,condition_number,worst_normalized_error,tolerance_headroom,tolerance_safety_factor,limiting_R,minimum_guardrail_prediction,any_guardrail_below_warning,strict_pass
161,1,328,0.90676326878889602,294,0.14745033504606417,158,213.96275958183381,1.844034096941233,-0.84403409694123299,0.54228932190502155,5.5999999999999996,5000.7244355518769,False,False
161,2,232,0.88422490502675666,294,0.14745033504606417,158,217.67960945003873,12.300397820359636,-11.300397820359636,0.081298183571331215,4.4000000000000004,5000.6723536863919,False,False
161,3,167,0.86208063117142419,294,0.14745033504606417,158,211.53937934990265,1.4720337358119198,-0.47203373581191976,0.67933225691219412,4.4000000000000004,5000.6071788638283,False,False
161,4,149,0.8496139235097917,294,0.14745033504606417,158,104.08437065957369,0.54251482527400818,0.45748517472599182,1.8432676000972501,4.4000000000000004,5000.6432890187498,False,True
161,5,218,0.81651911222501861,294,0.14745033504606417,158,103.96118923698775,3.3629004004960072,-2.3629004004960072,0.29736236013784595,4.4000000000000004,5000.6273188132282,False,False
161,6,50,0.79585806435497153,294,0.14745033504606417,158,73.743501178742051,0.59001985683398162,0.40998014316601838,1.6948582126810989,4.4000000000000004,5001.0066307114394,False,True
161,7,282,0.79109814790570709,294,0.14745033504606417,158,134.4796950703338,6.5971347477011442,-5.5971347477011442,0.15158095722517456,4.4000000000000004,5000.6955643723168,False,False
161,8,411,0.78169229901005888,294,0.14745033504606417,158,49.223934663647633,0.46130462098673763,0.53869537901326237,2.1677649746082852,4.4000000000000004,5000.6820552110612,False,True
161,9,423,0.77777291692197137,294,0.14745033504606417,158,69.312624148235969,0.42268765615095849,0.57731234384904151,2.3658131138867713,4.4000000000000004,5000.8513255316611,False,True
161,10,159,0.77356747297146899,294,0.14745033504606417,158,188.95929485129687,1.4287408340499965,-0.42874083404999652,0.69991700115782274,5.7999999999999998,5000.6335248920932,False,False
161,11,347,0.75571946619536057,294,0.14745033504606417,158,105.07360989119272,0.70267120842858066,0.29732879157141934,1.4231407064996313,4.4000000000000004,5000.6972527304379,False,True
161,12,248,0.73065215596173627,294,0.14745033504606417,158,53.45299179626813,2.4340175075351063,-1.4340175075351063,0.41084338830934924,4.4000000000000004,5000.6270394997882,False,False
161,13,172,0.73515003507604626,294,0.14745033504606417,158,146.25097083325917,1.0525554319816521,-0.052555431981652134,0.95006872760828787,5.7999999999999998,5000.6333730201741,False,False
161,14,302,0.72543835092744624,294,0.14745033504606417,158,75.154157136962738,2.7785887036621877,-1.7785887036621877,0.35989493467744871,4.4000000000000004,5000.7339396553507,False,False
161,15,385,0.72108388903941067,294,0.14745033504606417,158,47.873158565410485,0.48871538896696115,0.5112846110330389,2.0461807067581486,4.4000000000000004,5000.6621011140833,False,True
161,16,406,0.72945485068692784,294,0.14745033504606417,158,78.059404183938327,0.7011362196970089,0.2988637803029911,1.4262563705982028,4.4000000000000004,5000.7873226191487,False,True
161,17,136,0.71991271752084995,294,0.14745033504606417,158,280.56544311764873,2.1201956018570058,-1.1201956018570058,0.47165459598356618,6.4000000000000004,5000.8395641636043,False,False
161,18,318,0.72135965885028319,294,0.14745033504606417,158,64.891511250801884,0.48549349249341933,0.51450650750658067,2.0597598432558901,4.4000000000000004,5000.6339024268746,False,True
161,19,331,0.70788772307048586,294,0.14745033504606417,158,246.02037972361521,1.3534323976989284,-0.35343239769892842,0.73886217124710085,4.4000000000000004,5000.6086585681414,False,False
161,20,153,0.73023626588030188,294,0.14745033504606417,158,177.86888277773306,0.51066691954778776,0.48933308045221224,1.958223573372508,6.4000000000000004,5000.795134770372,False,True
161,21,267,0.65547482902372112,294,0.14745033504606417,158,119.44408093938465,3.3851395481902102,-2.3851395481902102,0.29540879652498458,5.2000000000000002,5000.6074031639355,False,False
161,22,68,0.6626734207772953,294,0.14745033504606417,158,68.513072508731639,1.4349287007274072,-0.43492870072740719,0.69689873754220044,4.4000000000000004,5000.6068015030814,False,False
161,23,451,0.66418404151521904,294,0.14745033504606417,158,94.627076480461085,0.30121341651516403,0.69878658348483591,3.3199052405079601,4.4000000000000004,5000.9575713471459,False,True
161,24,303,0.6520781226680904,294,0.14745033504606417,158,74.421087069568443,2.4354470359728455,-1.4354470359728455,0.41060223656251571,4.4000000000000004,5000.7185533793236,False,False
161,25,352,0.67795609218283048,294,0.14745033504606417,158,84.869679409350809,0.45306421547883141,0.54693578452116864,2.2071926359117255,4.4000000000000004,5000.6699214994096,False,True
161,26,280,0.66144555652656434,294,0.14745033504606417,158,153.89606312115401,2.4044264075600719,-1.4044264075600719,0.41589960784649888,4.4000000000000004,5000.671693215857,False,False
161,27,92,0.63536239920409032,294,0.14745033504606417,158,95.59755605421617,0.7405233025836282,0.2594766974163718,1.3503963974004298,4.4000000000000004,5000.6951112925099,False,True
161,28,383,0.62283645627809392,294,0.14745033504606417,158,169.83581322718186,2.0894489059393884,-1.0894489059393884,0.47859509613153872,4.4000000000000004,5000.462930391237,False,False
161,29,314,0.68623890887944272,294,0.14745033504606417,158,245.39536060963837,6.8237733621667944,-5.8237733621667944,0.14654648490296049,4.4000000000000004,5000.9796886302311,False,False
161,30,44,0.62227955504037946,294,0.14745033504606417,158,76.795060430127066,0.52126101518396417,0.47873898481603583,1.9184246871926123,4.4000000000000004,5000.6484674889698,False,True
161,31,453,0.67478536663399136,294,0.14745033504606417,158,52.755050501865085,0.59706585665422363,0.40293414334577637,1.6748571181137326,4.4000000000000004,5000.924070891645,False,True
161,32,257,0.63971128827995449,294,0.14745033504606417,158,208.89814926517181,5.6154520532810608,-4.6154520532810608,0.17808005313048814,4.4000000000000004,5000.4868602282504,False,False
161,33,300,0.6012433924437548,294,0.14745033504606417,158,48.979647881658167,0.82023691708242696,0.17976308291757304,1.2191599514406011,4.4000000000000004,5000.6460979692192,False,True
161,34,367,0.59618496728790582,294,0.14745033504606417,158,59.066176312688143,0.48177927356046335,0.51822072643953665,2.0756393121890908,4.4000000000000004,5000.6896815064592,False,True
161,35,122,0.60447251966423232,294,0.14745033504606417,158,184.68574075035031,1.5035490440592443,-0.50354904405924428,0.66509303700544742,4.4000000000000004,5000.5956564203261,False,False
161,36,326,0.65759395188836822,294,0.14745033504606417,158,83.170589921858792,0.63396288982940519,0.36603711017059481,1.5773793956127191,5.7999999999999998,5000.6681619883602,False,True
161,37,390,0.58940006681541912,294,0.14745033504606417,158,108.54263907927781,0.77352179466643756,0.22647820533356244,1.2927883957442021,4.4000000000000004,5000.443958359715,False,True
161,38,324,0.63664849470743801,294,0.14745033504606417,158,107.9557850478203,1.0089201210374323,-0.0089201210374323381,0.99115874403589044,4.4000000000000004,5000.9450373373911,False,False
161,39,230,0.63700278567523083,294,0.14745033504606417,158,49.556384069118224,1.8041175756657513,-0.80411757566575126,0.55428759937166638,4.4000000000000004,5000.6262327031618,False,False
161,40,360,0.55414309638099724,294,0.14745033504606417,158,47.265493886978412,0.55291536709338163,0.44708463290661837,1.8085950572451903,4.4000000000000004,5000.7453698408963,False,True
161,41,474,0.60996443809422285,294,0.14745033504606417,158,67.824263921269051,0.49022640081741159,0.50977359918258847,2.0398738181635738,4.4000000000000004,5000.8933225610208,False,True
161,42,126,0.55210907391120034,294,0.14745033504606417,158,76.068860627885485,0.49459899490432463,0.50540100509567543,2.0218399355895178,4.4000000000000004,5000.6619776982016,False,True
161,43,363,0.5767265188681262,294,0.14745033504606417,158,76.249902206052909,0.80585750826773317,0.19414249173226683,1.2409141687462768,4.4000000000000004,5000.679529903693,False,True
161,44,386,0.53685349040101715,294,0.14745033504606417,158,92.991588815006011,0.48396341551440814,0.51603658448559186,2.0662718873844894,4.4000000000000004,5000.6678470972938,False,True
161,45,307,0.63019010852623514,294,0.14745033504606417,158,84.996776666915267,1.7232144943100538,-0.7232144943100538,0.58031081058216338,4.4000000000000004,5000.7705238683911,False,False
161,46,203,0.50932814156000727,294,0.14745033504606417,158,102.00180259106942,2.7089410347787028,-1.7089410347787028,0.36914793905128002,4.4000000000000004,5000.6596872188447,False,False
161,47,479,0.51786587625138836,294,0.14745033504606417,158,341.1705690136298,4.1346798630235551,-3.1346798630235551,0.24185669341488822,4.4000000000000004,5000.8411903931865,False,False
161,48,205,0.51885851262194937,294,0.14745033504606417,158,66.689720289995762,0.50847869116034194,0.49152130883965806,1.9666507513186298,4.4000000000000004,5000.6494640445599,False,True
161,49,105,0.5249935785947788,294,0.14745033504606417,158,70.348883659578462,0.51163610383362024,0.48836389616637976,1.9545141410215874,4.4000000000000004,5000.6643099179628,False,True
161,50,426,0.50567769776285765,294,0.14745033504606417,158,154.15214096820193,0.64344933581184227,0.35655066418815773,1.5541239136385097,4.4000000000000004,5000.5794778779837,False,True
161,51,270,0.54108642967420739,294,0.14745033504606417,158,51.677353109854906,1.8398174588169531,-0.83981745881695313,0.54353218315637908,4.4000000000000004,5000.6431892800101,False,False
161,52,146,0.49847674691931976,294,0.14745033504606417,158,98.540733793893779,0.8360416544205691,0.1639583455794309,1.1961126514600096,6,5000.9947606700662,False,True
161,53,306,0.49089592879440691,294,0.14745033504606417,158,53.791945343855176,0.84532098018148227,0.15467901981851773,1.1829825870231088,4.4000000000000004,5000.7004280203037,False,True
161,54,85,0.46952439417663394,294,0.14745033504606417,158,110.23827649562999,1.1195585678780435,-0.11955856787804353,0.89320918859595799,4.4000000000000004,5000.8360851147418,False,False
161,55,179,0.47657449744549424,294,0.14745033504606417,158,90.549252799708256,2.1624136546211781,-1.1624136546211781,0.46244621044773448,4.4000000000000004,5000.6465153610925,False,False
161,56,330,0.45466626388691328,294,0.14745033504606417,158,71.891252580096349,0.48858730793610483,0.51141269206389517,2.046717104102048,4.4000000000000004,5000.6854804230143,False,True
161,57,243,0.51292494528280308,294,0.14745033504606417,158,276.89191682218933,16.70174785813888,-15.70174785813888,0.059873972981378289,4.4000000000000004,5000.7483338539714,False,False
161,58,123,0.46698907596130906,294,0.14745033504606417,158,93.604000537228416,0.55537913372651104,0.44462086627348896,1.800571788302793,4.4000000000000004,5000.6282815582845,False,True
161,59,381,0.48799627191402262,294,0.14745033504606417,158,56.754198240135558,0.57149233318236914,0.42850766681763086,1.7498047514154309,4.4000000000000004,5000.6877872498899,False,True
