training_points,unavailable_orientation,unavailable_leverage,simple_replacement_error,reoptimized_error,reoptimized_safety_factor,reoptimized_limiting_R,reoptimized_condition_number,original_selected_points_retained,selected_points_changed,reoptimized_strict_pass,minimum_guardrail_prediction
175,328,0.90676326878889602,1.0457229878613299,0.58735906793053694,1.7025360713734028,4.4000000000000004,35.560536623889824,159,16,True,5000.7215684308903
175,282,0.79109814790570709,2.3083846693969918,0.87207978173729905,1.1466840774680809,4.4000000000000004,33.18874315305451,172,3,True,5000.7318693160823
175,267,0.65547482902372112,1.2058338838312457,0.36695653305169174,2.7251183994021817,5.2000000000000002,31.81137864192052,170,5,True,5000.736015536042
175,203,0.50932814156000727,1.0291201803682777,0.6173307910098107,1.6198770814010925,4.4000000000000004,35.747064615772487,159,16,True,5000.7256029792379
175,241,0.23783178560133783,1.2834768708915334,0.35063616867643077,2.8519590656456386,4.7999999999999998,33.010915907854908,172,3,True,5000.7352253997087
175,187,0.1741866154366539,1.3351835801047347,0.42379925884253805,2.3596077131686264,4.4000000000000004,32.598978718252965,170,5,True,5000.7289091043467
180,282,0.79109814790570709,2.7987803015053809,0.86189271462201489,1.1602372117027957,4.4000000000000004,32.118606162436656,178,2,True,5000.7304016165172
180,267,0.65547482902372112,1.6156968832795309,0.34733212320688867,2.8790887257046167,4.4000000000000004,31.565232038384089,175,5,True,5000.7336589392635
180,215,0.43196408667677921,1.0780937720098933,0.32033625348475425,3.1217197214538595,4.4000000000000004,34.342574667812357,177,3,True,5000.7325836776017
180,241,0.23783178560133783,1.2590009692662107,0.33625581006880118,2.9739263086499244,4.4000000000000004,32.518660913515312,177,3,True,5000.7323115792797
180,187,0.1741866154366539,1.2039779567040054,0.4169312714014331,2.3984768440100335,4.4000000000000004,32.070671277810305,174,6,True,5000.7274000298812
182,282,0.79109814790570709,2.2153585136147629,0.77505323765966405,1.2902339496310999,4.4000000000000004,31.7075974800198,180,2,True,5000.7264715637903
182,267,0.65547482902372112,1.5172875896506686,0.34053648649379908,2.9365428952888704,4.4000000000000004,31.376126293816331,176,6,True,5000.7334312976664
182,215,0.43196408667677921,1.1741241823618187,0.30578130948424853,3.2703110654037939,4.4000000000000004,33.986467170995923,179,3,True,5000.7286916975127
182,241,0.23783178560133783,1.2662339579210453,0.30193487705013622,3.3119724682682161,4.4000000000000004,31.977244947047989,179,3,True,5000.7282355922907
182,187,0.1741866154366539,1.0941161195900373,0.39442562776003187,2.535332213778966,4.4000000000000004,31.623144130693767,176,6,True,5000.7230141149839
