training_points,specifications,specifications_passed,pass_rate_percent,minimum_safety_factor,median_safety_factor,maximum_safety_factor
161,36,36,100,1.0628390472275784,1.8001173474809964,4.2513561889103135
175,36,36,100,1.3733576055336039,2.6657949607358655,5.4934304221344155
180,36,36,100,1.5137970763435871,2.7655098658407495,6.0551883053743483
182,36,36,100,1.6326975461298108,3.1979236794845627,6.5307901845192431
200,36,36,100,1.0467694350435048,2.0935388700870097,4.1870777401740193
